ShipmentID,Origin,Destination,Pickup_Date,Delivery_Date,Delivery_Status,Distance_KM,Shipment_Mode,Weight_KG,Cost_USD,Customer_Segment,Delay_Reason
SHP000001,Chicago,Houston,2024-05-20,2024-05-21,Delivered,621,Air,368.37,595.47,Business,None
SHP000002,Phoenix,Las Vegas,2024-01-17,2024-01-18,Delivered,945,Air,116.71,590.28,Government,None
SHP000003,Boston,Las Vegas,2024-04-22,2024-04-27,Delayed,1189,Ground,404.81,812.94,Retail,Operational
SHP000004,Los Angeles,Philadelphia,2024-04-20,2024-04-22,Delivered,1428,Freight,51.55,738.53,Retail,None
SHP000005,Phoenix,Charlotte,2024-01-23,2024-01-26,Delivered,2246,Ground,62.85,1083.41,Retail,None
SHP000006,Phoenix,Orlando,2024-10-22,2024-10-23,Delivered,334,Air,23.39,259.33,Business,None
SHP000007,Atlanta,San Francisco,2024-07-13,2024-07-19,Delayed,2653,Air,417.14,1539.13,Government,Weather
SHP000008,Chicago,Portland,2024-11-21,2024-11-22,Delivered,1052,Air,82.12,617.67,Government,None
SHP000009,Boston,Detroit,2024-12-16,2024-12-20,Delayed,279,Ground,114.91,229.5,Business,Weather
SHP000010,Atlanta,Portland,2024-06-10,2024-06-12,Delivered,2094,Air,198.12,1156.17,Retail,None
SHP000011,Dallas,Detroit,2024-10-14,2024-10-17,Delivered,2444,Ground,214.5,1263.5,Business,None
SHP000012,Boston,Nashville,2024-02-16,2024-02-18,Delayed,499,Ground,76.84,305.65,Retail,Operational
SHP000013,Miami,Portland,2024-08-27,2024-09-02,Delayed,2316,Ground,430.46,1335.48,Government,Operational
SHP000014,Seattle,San Francisco,2024-05-30,2024-06-01,Delivered,1908,Ground,2.12,894.87,Government,None
SHP000015,Dallas,San Diego,2024-02-24,2024-02-25,Delivered,1272,Freight,420.91,889.95,Retail,None
SHP000016,Dallas,San Diego,2024-09-28,2024-10-04,Delayed,2503,Freight,162.42,1288.8,Business,Customs
SHP000017,New York,Detroit,2024-10-17,2024-10-18,Delivered,400,Freight,366.09,464.65,Government,None
SHP000018,Dallas,Philadelphia,2024-12-03,2024-12-06,Delivered,2301,Ground,82.98,1120.24,Business,None
SHP000019,Boston,Detroit,2024-06-08,2024-06-12,Delivered,2801,Ground,325.11,1490.52,Business,None
SHP000020,Atlanta,Detroit,2024-02-02,2024-02-05,In Transit,2459,Ground,277.18,1307.86,Government,None
SHP000021,New York,Detroit,2024-02-04,2024-02-06,Delivered,1403,Freight,35.89,717.88,Business,None
SHP000022,Boston,Philadelphia,2024-10-19,2024-10-20,Delivered,1045,Ground,392.42,740.7,Business,None
SHP000023,Miami,Orlando,2024-08-04,2024-08-05,Delivered,271,Ground,336.85,359.06,Retail,None
SHP000024,Seattle,San Francisco,2024-05-07,2024-05-10,Delivered,2246,Air,224.58,1240.45,Business,None
SHP000025,Chicago,Nashville,2024-10-08,2024-10-11,Delivered,2721,Air,499.64,1619.23,Business,None
SHP000026,Dallas,Las Vegas,2024-09-05,2024-09-11,Delayed,1692,Ground,451.27,1067.16,Retail,Weather
SHP000027,Denver,Charlotte,2024-08-04,2024-08-07,Delivered,2326,Ground,331.1,1280.36,Business,None
SHP000028,New York,Portland,2024-10-04,2024-10-05,Delivered,1334,Air,29.05,712.73,Government,None
SHP000029,Dallas,Houston,2024-09-17,2024-09-22,Delayed,811,Air,34.73,480.79,Business,Customs
SHP000030,Phoenix,Detroit,2024-10-23,2024-10-26,Delivered,2586,Ground,41.45,1223.57,Retail,None
SHP000031,Los Angeles,Detroit,2024-12-08,2024-12-13,Delayed,1027,Ground,133.17,577.05,Retail,Operational
SHP000032,Chicago,Houston,2024-08-22,2024-08-28,Delayed,2356,Ground,498.05,1394.03,Business,Weather
SHP000033,Seattle,San Francisco,2024-05-05,2024-05-06,Delivered,696,Ground,219.37,479.82,Government,None
SHP000034,Boston,Houston,2024-12-07,2024-12-11,Delayed,1276,Freight,465.91,918.75,Business,Customs
SHP000035,Chicago,San Diego,2024-03-20,2024-03-23,Delivered,2527,Air,105.71,1295.58,Retail,None
SHP000036,Boston,Nashville,2024-05-08,2024-05-09,Delivered,258,Freight,46.6,209.06,Business,None
SHP000037,Seattle,Philadelphia,2024-11-22,2024-11-23,Delivered,711,Freight,370.74,607.39,Business,None
SHP000038,Chicago,San Francisco,2024-12-19,2024-12-22,Delivered,2284,Freight,18.5,1103.9,Retail,None
SHP000039,Dallas,Houston,2024-06-06,2024-06-07,Delivered,213,Ground,449.51,400.56,Business,None
SHP000040,Seattle,San Diego,2024-07-27,2024-07-28,Delivered,683,Freight,462.92,650.1,Business,None
SHP000041,Miami,Houston,2024-04-01,2024-04-03,Delivered,1410,Ground,391.3,904.28,Government,None
SHP000042,Atlanta,Charlotte,2024-03-22,2024-03-25,Delayed,492,Ground,191.58,371.35,Retail,Operational
SHP000043,Seattle,Charlotte,2024-04-26,2024-04-29,Delivered,2753,Air,96.97,1392.03,Retail,None
SHP000044,Seattle,San Diego,2024-07-23,2024-07-29,Delayed,2246,Ground,165.91,1145.25,Business,Customs
SHP000045,Phoenix,Charlotte,2024-01-20,2024-01-22,Delivered,1829,Air,173.17,1021.95,Government,None
SHP000046,Chicago,Las Vegas,2024-10-22,2024-10-25,Delayed,231,Air,354.54,411.67,Retail,Customs
SHP000047,Miami,San Francisco,2024-12-06,2024-12-09,Delivered,2602,Freight,157.3,1330.28,Retail,None
SHP000048,Boston,Charlotte,2024-12-07,2024-12-09,Delivered,1698,Ground,348.76,1008.36,Government,None
SHP000049,Miami,Philadelphia,2024-11-11,2024-11-17,Delayed,1713,Ground,274.19,970.36,Government,Weather
SHP000050,Phoenix,Orlando,2024-08-26,2024-08-30,Delivered,2817,Ground,107.24,1366.99,Government,None
SHP000051,Dallas,San Francisco,2024-05-25,2024-05-30,Delayed,2642,Ground,309.82,1409.79,Government,Customs
SHP000052,Los Angeles,Detroit,2024-04-11,2024-04-12,Delivered,239,Air,122.8,276.23,Business,None
SHP000053,Denver,Las Vegas,2024-11-18,2024-11-22,Delivered,2992,Ground,348.33,1590.4,Government,None
SHP000054,New York,San Francisco,2024-08-05,2024-08-10,Delayed,2900,Air,259.22,1555.53,Retail,Weather
SHP000055,Dallas,Nashville,2024-12-07,2024-12-10,Delivered,2339,Ground,297.93,1266.31,Government,None
SHP000056,Boston,Las Vegas,2024-10-07,2024-10-08,Delivered,701,Ground,371.96,573.63,Business,None
SHP000057,Los Angeles,San Diego,2024-09-05,2024-09-06,Delivered,1174,Ground,220.22,695.43,Retail,None
SHP000058,Seattle,San Diego,2024-02-11,2024-02-16,Delayed,997,Air,191.83,658.75,Retail,Weather
SHP000059,Seattle,San Diego,2024-08-26,2024-08-27,Delivered,897,Ground,416.53,688.57,Government,None
